keywords,title,category,link,date
"[""Cam"",""American"",""hundreds"",""Charles"",""Clarke"",""Operations"",""forces"",""battle"",""Jørn"",""militants"",""Lande"",""dozens"",""West"",""advisers"",""Nigerian"",""Battle"",""deployment"",""troops"",""Special"",""miles""]",U.S. Plans to Put Advisers on Front Lines of Nigeria’s War on Boko Haram,world,http://rss.nytimes.com/c/34625/f/640305/s/4ddc763b/sc/7/l/0L0Snytimes0N0C20A160C0A20C260Cworld0Cafrica0Cus0Eplans0Eto0Ehelp0Enigeria0Ein0Ewar0Eon0Eboko0Eharam0Eterrorists0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Fri, 26 Feb 2016 02:03:40 GMT"
"[""country"",""Human"",""Watch"",""rights"",""Africa"",""Sudan"",""Rights"",""Republic"",""new"",""disappearances"",""Central"",""possible"",""African"",""abductions"",""pattern""]","Burundi Strife Is Turning More Sinister, Report Finds",world,http://rss.nytimes.com/c/34625/f/640305/s/4dd8b3b0/sc/13/l/0L0Snytimes0N0C20A160C0A20C260Cworld0Cafrica0Cburundi0Eviolence0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Thu, 25 Feb 2016 12:41:13 GMT"
"[""officials"",""bullets"",""gas"",""CS"",""occupations"",""University"",""event"",""guards"",""Government"",""student"",""rubber"",""disruption"",""Chancellor"",""Student"",""council""]",World Briefing: South Africa: Students Injured in Clash,world,http://rss.nytimes.com/c/34625/f/640305/s/4dd5cc88/sc/33/l/0L0Snytimes0N0C20A160C0A20C250Cworld0Cafrica0Csouth0Eafrica0Estudents0Einjured0Ein0Eclash0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Thu, 25 Feb 2016 04:43:16 GMT"
"[""Dr."",""American"",""Reinhardt"",""White"",""Black"",""people"",""Godrich"",""career"",""Haiti"",""ambassador"",""diplomat"",""agency"",""university"",""educator"",""Atlanta"",""Nigel"",""information"",""Nigeria"",""Race"",""black""]","John E. Reinhardt, Ambassador and Head of U.S. Information Agency, Dies at 95",world,http://rss.nytimes.com/c/34625/f/640305/s/4dc6dd25/sc/13/l/0L0Snytimes0N0C20A160C0A20C230Cus0Cjohn0Ee0Ereinhardt0Eambassador0Eand0Ehead0Eof0Eus0Einformation0Eagency0Edies0Eat0E950Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Wed, 24 Feb 2016 03:01:04 GMT"
"[""Pierre"",""President"",""people"",""unrest"",""Nkurunziza""]",World Briefing: Burundi: President to Free Detainees,world,http://rss.nytimes.com/c/34625/f/640305/s/4dcdddac/sc/7/l/0L0Snytimes0N0C20A160C0A20C240Cworld0Cafrica0Cburundi0Epresident0Eto0Efree0Edetainees0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Wed, 24 Feb 2016 00:43:45 GMT"
"[""women"",""Immune"",""Virus"",""flexible"",""infection"",""Antiviral"",""H.I.V."",""antiviral"",""drug"",""vagina"",""studies"",""system"",""ring"",""African""]",Vaginal Ring With Drug Lowers H.I.V. Rates in African Women,world,http://rss.nytimes.com/c/34625/f/640305/s/4dc6338a/sc/14/l/0L0Snytimes0N0C20A160C0A20C230Chealth0Cvaginal0Ering0Ehiv0Eaids0Edrug0Edapivirine0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Tue, 23 Feb 2016 19:51:10 GMT"
"[""Consolidated"",""Zimbabwe"",""state"",""Government"",""Mining"",""Diamond"",""mining"",""diamond"",""Sovereign""]",World Briefing: Zimbabwe: Government Seizes Mining Operations,world,http://rss.nytimes.com/c/34625/f/640305/s/4dc71c63/sc/31/l/0L0Snytimes0N0C20A160C0A20C230Cworld0Cafrica0Czimbabwe0Egovernment0Eseizes0Emining0Eoperations0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Tue, 23 Feb 2016 01:52:18 GMT"
"[""presidential"",""state"",""Besigye"",""Constitution"",""Washington,"",""D.C."",""Kingdom"",""U.S."",""Mr."",""runner-up"",""President"",""United"",""Republic"",""release"",""house"",""election"",""arrest"",""States""]",Uganda Opposition Candidate Kizza Besigye Taken From Home,world,http://rss.nytimes.com/c/34625/f/640305/s/4dc48a1a/sc/7/l/0L0Snytimes0N0C20A160C0A20C230Cworld0Cafrica0Cuganda0Eopposition0Eleader0Etaken0Efrom0Ehome0Ekizza0Ebesigye0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Mon, 22 Feb 2016 15:42:10 GMT"
"[""presidential"",""prime"",""war"",""Democratic"",""devastated"",""minister"",""Prime"",""Congo"",""Archange"",""civil"",""Republic"",""economy"",""Touadéra"",""election"",""Faustin"",""Central"",""African"",""winner""]",Newly Elected Central African Republic Leader Faces Hard Realities,world,http://rss.nytimes.com/c/34625/f/640305/s/4dc0570c/sc/11/l/0L0Snytimes0N0C20A160C0A20C220Cworld0Cafrica0Cnewly0Eelected0Ecentral0Eafrican0Erepublic0Eleader0Efaces0Ehard0Erealities0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Mon, 22 Feb 2016 01:11:04 GMT"
"[""American"",""Party"",""Union"",""tax"",""Conservatism"",""Political"",""carbon"",""lesson"",""Conservative"",""Democrat"",""Democratic"",""International"",""Opposition"",""province"",""skeptics"",""conservative"",""Canada"",""important"",""party"",""policy"",""England"",""Leader""]",Economic Scene: Does a Carbon Tax Work? Ask British Columbia,world,http://rss.nytimes.com/c/34625/f/666862/s/4df6ab2d/sc/31/l/0L0Snytimes0N0C20A160C0A30C0A20Cbusiness0Cdoes0Ea0Ecarbon0Etax0Ework0Eask0Ebritish0Ecolumbia0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,"Wed, 02 Mar 2016 01:57:39 GMT"
